id,ru,en
similar12,Наречия,Adverbs
similar13,Прилагательные,Adjectives
similar14,Все части речи,All of&nbsp;them
similar15,Найти похожие слова!,Find similar words!
similar16,Cемантические аналоги для,Semantic associates for
similar17,вычислено на&nbsp;модели,computed on&nbsp;data from
similar18,Модели неизвестно слово,The model does not know the word
similar19,Часть речи запроса,Query part of&nbsp;speech
similar20,Имена собственные,Proper names
similar21,Некорректный запрос,Incorrect query
similar22,Некорректный тэг,Incorrect tag
similar23,Нет подходящих результатов,No&nbsp;results
similar24,Вычисление семантической близости,Computing similarity
similar25,"Введите через пробел 2&nbsp;слова, чтобы вычислить их&nbsp;семантическое сходство. Можно также ввести несколько пар, разделяя их&nbsp;запятыми, как в&nbsp;примере.","Enter 2&nbsp;space-separated words to&nbsp;calculate their similarity. It&nbsp;is&nbsp;also possible to&nbsp;enter several pairs separating them with commas, as&nbsp;in&nbsp;the placeholder."
similar26,"movie film, city town","movie film, city town"
similar27,Вычислить семантическую близость!,Compute semantic similarity!
similar28,Пары слов,Word pairs
similar29,Косинусная близость,Cosine similarity
similar30,Нет близких слов с&nbsp;такой частью речи,No&nbsp;similar words with this tag
similar31,История запросов близости,Similarity queries history
similar32,Слова нет в словаре модели; вектор восстановлен из составляющих его символов.,The word is out of model vocabulary; its embedding is inferred from its characters.
synraw1,"Слова, семантически связанные&nbsp;с",Semantically related words for
synraw2,Какие слова близки к&nbsp;слову,What words are related&nbsp;to
synraw3,в,in&nbsp;the
synraw4,Показать вектор,Show the raw vector&nbsp;of
synraw5,в&nbsp;модели,in&nbsp;model
synraw6,Поискать,Search
synraw7,в&nbsp;Интернете,in&nbsp;the Internet
synraw8,на&nbsp;Wiktionary,in&nbsp;the Wiktionary
synraw9,О&nbsp;слове,About the word
synraw10,&#8212;&nbsp;визуализация вектора; по&nbsp;клику доступна полноразмерная версия,vector plot; click for full-size image
synraw11,в&nbsp;Википедии,in&nbsp;Wikipedia
synraw12,Это слово в&nbsp;других моделях,This word in&nbsp;other models
synraw13,в&nbsp;НКРЯ,in&nbsp;the RNC
synraw14,частота в корпусе,corpus frequency
synraw15,часть речи, part of speech
upload10,"Когда обучение закончится, вы&nbsp;сможете скачать вашу модель здесь:","When the training is&nbsp;finished, you can download your model here:"
upload11,Размерность векторов:,Vector size:
upload12,Алгоритм обучения:,Training mode:
upload13,Размер симметричного окна:,Symmetric window size:
upload1,Обучите свою модель,Train your model
upload2,Загрузите свой корпус!,Upload your own corpus!
upload3,"Введите URL, с&nbsp;которого можно загрузить ваш обучающий корпус. Корпус должен представлять собой txt-файл в&nbsp;кодировке UTF-8 (без некорректных символов), упакованный gzip, и&nbsp;содержащий одно предложение на&nbsp;каждой строке.",Enter a&nbsp;direct URL from where your training corpus can be&nbsp;downloaded. It&nbsp;should be&nbsp;a&nbsp;gzipped plain text UTF-8 (with no&nbsp;incorrect characters) document with one sentence per line.
upload4,Обработать,Process
upload5,Ваш файл,Your file from
upload6,отправлен в&nbsp;очередь на&nbsp;загрузку и&nbsp;обучение.,was put into downloading and training queue.
upload7,Ваш идентификатор обучения&nbsp;&#8212;,Your training identifier&nbsp;is
upload8,"Пожалуйста, сохраните его в&nbsp;надежном месте.","Please, write it&nbsp;down somewhere."
upload9,"Обучение вашей модели займет некоторое время. Типичная скорость обработки&nbsp;&#8212; около 50&nbsp;тысяч слов в&nbsp;секунду (иногда чуть медленнее, в&nbsp;зависимости от&nbsp;многих факторов).",It&nbsp;will take a&nbsp;while to&nbsp;train your model. General safe rule of&nbsp;thumb as&nbsp;for processing speed is&nbsp;approximately 50&nbsp;thousand words a&nbsp;second (plus some additional time for various system pipelines).
usermodel1,"Модели, созданные пользователями",User-generated models
usermodel2,Обучение модели на&nbsp;вашем корпусе завершено,Model training on&nbsp;your corpus has finished.
usermodel3,Здесь вы&nbsp;можете скачать вашу модель в&nbsp;бинарном формате Word2Vec (правая кнопка на&nbsp;ссылке&nbsp;&#8212; Скачать как):,Here you can download your model in&nbsp;binary Word2Vec format (right-click on&nbsp;the link below and press Save Link&nbsp;As):
usermodel4,Ваша модель с&nbsp;идентификатором,Your model with identifier
usermodel5,все еще обрабатывается. Приходите попозже.,is&nbsp;still being processed. Please come back later.
usermodel6,"Извините, идентификатор не&nbsp;распознан.","Unknown identifier, sorry."
visual1,Визуализация семантических связей между словами,Visualizing word inter-relations
visual2,Введите cлова через запятую. Мы&nbsp;построим карту их&nbsp;взаимного расположения в&nbsp;выбранной модели/моделях и&nbsp;отобразим двумерную проекцию этой карты (из&nbsp;векторного пространства высокой размерности).,"Enter a&nbsp;comma-separated list of&nbsp;words. We&nbsp;will build a&nbsp;map of&nbsp;their inter-relations in&nbsp;the chosen model(s), and return 2-dimensional version of&nbsp;this map (projected from high-dimensional vector space)."
visual3,Визуализация взаимного расположения слов при помощи t-SNE,Visual representation of&nbsp;word relations using t-SNE
visual4,Следующие слова неизвестны модели:,The following words were unknown to&nbsp;the model:
visual5,&#8212;&nbsp;это алгоритм снижения размерности и&nbsp;визуализации высокоразмерных данных. Он&nbsp;разработан Лоренсом ван дер Маатеном и&nbsp;описан в&nbsp;этой статье:,"is&nbsp;an&nbsp;algorithm for dimensionality reduction and visualization of&nbsp;high-dimensional datasets, developed by&nbsp;Laurens van der Maaten and described in&nbsp;this paper:"
visual6,Визуализация отношений между словами; по&nbsp;клику доступна полноразмерная версия,Plot for word relations; click for full-size image
visual7,"car,tank,transport,computer,mouse,Moscow,Paris,London,Russia,France,Britain,clean,fast,new","car,tank,transport,computer,mouse,Moscow,Paris,London,Russia,France,Britain,clean,fast,new"
visual8,Слишком мало слов,Too few words
visual9,Слова не&nbsp;должны повторяться,Words must be&nbsp;unique
visual15,Визуализировать,Visualize
visual16,Визуализация,Visualization
visual17,вычислено на&nbsp;модели,computed on&nbsp;data from
visual18,14&nbsp;тысяч наиболее частотных существительных в&nbsp;НКРЯ,14K most frequent nouns in&nbsp;the Russian National Corpus
visual19,Визуализация отношений между cуществительными; по&nbsp;клику доступна полноразмерная версия,Plot for noun relations; click for full-size image
visual20,Примеры больших семантических карт,Examples of&nbsp;large semantic maps
visual21,8&nbsp;тысяч наиболее частотных существительных в&nbsp;новостном корпусе,8K&nbsp;most frequent nouns in&nbsp;the news corpus
visual22,Визуализировать в&nbsp;TensorFlow Projector,Visualize in&nbsp;TensorFlow Projector
visual23,Показать трёхмерную проекцию взаимного расположения выбранных слов в&nbsp;TensorFlow Projector от&nbsp;Google,Show 3D&nbsp;projection of&nbsp;the chosen words in&nbsp;Google&#8217;s TensorFlow Projector
visual24,"Вы&nbsp;можете добавлять новые группы слов кнопкой &#8217;+&#8217;; они отобразятся на&nbsp;визуализации разными цветами (если группа одна, цвета соответствуют частям речи). Оптимальное общее количество слов&nbsp;&#8212; от&nbsp;7&nbsp;до&nbsp;20.","You can add new groups of&nbsp;words with the &#8217;+&#8217; button. They will be&nbsp;visualized with different colors (if&nbsp;there is&nbsp;only 1&nbsp;group, the colors marks parts of&nbsp;speech). Optimal total number of&nbsp;words is&nbsp;from 7&nbsp;to&nbsp;20."
